a[0]=12,temp_max=12
a[1]=13,temp_max=25
a[2]=13,temp_max=38
a[3]=13,temp_max=51
a[4]=13,temp_max=64
a[5]=13,temp_max=77
a[6]=13,temp_max=90
a[7]=13,temp_max=103
a[8]=10,temp_max=113
a[9]=13,temp_max=126
a[10]=13,temp_max=139
a[11]=12,temp_max=151
a[12]=13,temp_max=164
a[13]=10,temp_max=174
a[14]=13,temp_max=187
a[15]=13,temp_max=200
a[16]=13,temp_max=213
a[17]=12,temp_max=225
a[18]=10,temp_max=235
a[19]=13,temp_max=248
a[20]=10,temp_max=258
a[21]=10,temp_max=268
a[22]=10,temp_max=278
a[23]=13,temp_max=291
a[24]=13,temp_max=304
a[25]=13,temp_max=317
a[26]=13,temp_max=330
a[27]=13,temp_max=343
a[28]=13,temp_max=356
a[29]=13,temp_max=369
a[30]=12,temp_max=381
a[31]=13,temp_max=394
a[32]=12,temp_max=406
a[33]=13,temp_max=419
a[34]=13,temp_max=432
a[35]=13,temp_max=445
a[36]=10,temp_max=455
a[37]=10,temp_max=465
a[38]=13,temp_max=478
a[39]=13,temp_max=491
a[40]=13,temp_max=504
a[41]=13,temp_max=517
a[42]=12,temp_max=529
a[43]=13,temp_max=542
a[44]=13,temp_max=555
a[45]=13,temp_max=568
a[46]=12,temp_max=580
a[47]=13,temp_max=593
a[48]=13,temp_max=606
a[49]=13,temp_max=619
a[50]=13,temp_max=632
a[51]=12,temp_max=644
a[52]=10,temp_max=654
a[53]=12,temp_max=666
a[54]=10,temp_max=676
a[55]=12,temp_max=688
a[56]=12,temp_max=700
a[57]=13,temp_max=713
a[58]=12,temp_max=725
a[59]=13,temp_max=738
a[60]=13,temp_max=751
a[61]=13,temp_max=764
a[62]=10,temp_max=774
a[63]=13,temp_max=787
a[64]=13,temp_max=800
a[65]=13,temp_max=813
a[66]=12,temp_max=825
a[67]=13,temp_max=838
a[68]=13,temp_max=851
a[69]=13,temp_max=864
a[70]=13,temp_max=877
a[71]=13,temp_max=890
a[72]=13,temp_max=903
a[73]=13,temp_max=916
a[74]=13,temp_max=929
a[75]=13,temp_max=942
a[76]=13,temp_max=955
a[77]=13,temp_max=968
a[78]=13,temp_max=981
a[79]=12,temp_max=993
a[80]=13,temp_max=1006
a[81]=13,temp_max=1019
a[82]=12,temp_max=1031
a[83]=13,temp_max=1044
a[84]=12,temp_max=1056
a[85]=13,temp_max=1069
a[86]=12,temp_max=1081
a[87]=13,temp_max=1094
a[88]=13,temp_max=1107
a[89]=13,temp_max=1120
a[90]=13,temp_max=1133
a[91]=12,temp_max=1145
a[92]=13,temp_max=1158
a[93]=13,temp_max=1171
a[94]=13,temp_max=1184
a[95]=13,temp_max=1197
a[96]=13,temp_max=1210
a[97]=13,temp_max=1223
a[98]=12,temp_max=1235
a[99]=13,temp_max=1248
a[100]=12,temp_max=1260
a[101]=13,temp_max=1273
a[102]=13,temp_max=1286
a[103]=13,temp_max=1299
a[104]=12,temp_max=1311
a[105]=12,temp_max=1323
a[106]=12,temp_max=1335
a[107]=13,temp_max=1348
a[108]=13,temp_max=1361
a[109]=13,temp_max=1374
a[110]=12,temp_max=1386
a[111]=13,temp_max=1399
a[112]=12,temp_max=1411
a[113]=10,temp_max=1421
a[114]=13,temp_max=1434
a[115]=12,temp_max=1446
a[116]=10,temp_max=1456
a[117]=13,temp_max=1469
a[118]=13,temp_max=1482
a[119]=13,temp_max=1495
a[120]=13,temp_max=1508
a[121]=13,temp_max=1521
a[122]=13,temp_max=1534
a[123]=13,temp_max=1547
a[124]=12,temp_max=1559
a[125]=13,temp_max=1572
a[126]=13,temp_max=1585
a[127]=12,temp_max=1597
a[128]=12,temp_max=1609
a[129]=13,temp_max=1622
a[130]=13,temp_max=1635
a[131]=13,temp_max=1648
a[132]=13,temp_max=1661
a[133]=12,temp_max=1673
a[134]=13,temp_max=1686
a[135]=12,temp_max=1698
a[136]=13,temp_max=1711
a[137]=13,temp_max=1724
a[138]=10,temp_max=1734
a[139]=10,temp_max=1744
a[140]=13,temp_max=1757
a[141]=10,temp_max=1767
a[142]=10,temp_max=1777
a[143]=10,temp_max=1787
a[144]=13,temp_max=1800
a[145]=10,temp_max=1810
a[146]=10,temp_max=1820
a[147]=13,temp_max=1833
a[148]=13,temp_max=1846
a[149]=12,temp_max=1858
